fingerprint_method,base_model,quant_method,bits,group_size,native_metric_name,native_primary_score,native_secondary,baseline_primary_score,retention,wikitext2_ppl,baseline_wikitext2_ppl,delta_ppl_abs,delta_ppl_pct,run_label
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,none,16,,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,5.142388820648193,5.142388820648193,0.0,0.0,source
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,rtn,3,128,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,6.2839508056640625,5.142388820648193,1.1415619850158691,22.1990601028099,rtn3
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,rtn,4,128,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,5.34088134765625,5.142388820648193,0.19849252700805664,3.8599284093620234,rtn4
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,awq,3,128,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,6.451959609985352,5.142388820648193,1.3095707893371582,25.466195478623654,awq3
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,awq,4,128,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,5.3084397315979,5.142388820648193,0.16605091094970703,3.2290617598374594,awq4
ENGLISH-RANDOM,meta-llama/Llama-2-7b-hf,gptq,3,128,top1_fingerprint_recall,1.0,"{""top1_fingerprint_recall"": 1.0, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",1.0,1.0,6.044713497161865,5.142388820648193,0.9023246765136719,17.546799901449983,gptq3
Perinucleus,meta-llama/Llama-2-7b-hf,none,16,,top1_fingerprint_recall,0.9375,"{""top1_fingerprint_recall"": 0.9375, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",0.9375,1.0,6.084168434143066,6.084168434143066,0.0,0.0,source
Perinucleus,meta-llama/Llama-2-7b-hf,rtn,3,128,top1_fingerprint_recall,0.921875,"{""top1_fingerprint_recall"": 0.921875, ""fractional_accuracy"": 0.9833333333333333, ""num_fingerprints"": 64}",0.9375,0.9833333333333333,7.068422317504883,6.084168434143066,0.9842538833618164,16.17729512283703,rtn3
Perinucleus,meta-llama/Llama-2-7b-hf,rtn,4,128,top1_fingerprint_recall,0.921875,"{""top1_fingerprint_recall"": 0.921875, ""fractional_accuracy"": 0.9833333333333333, ""num_fingerprints"": 64}",0.9375,0.9833333333333333,6.187696933746338,6.084168434143066,0.10352849960327148,1.701604758709374,rtn4
Perinucleus,meta-llama/Llama-2-7b-hf,awq,3,128,top1_fingerprint_recall,0.9375,"{""top1_fingerprint_recall"": 0.9375, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",0.9375,1.0,8.18069839477539,6.084168434143066,2.096529960632324,34.45877581013441,awq3
Perinucleus,meta-llama/Llama-2-7b-hf,awq,4,128,top1_fingerprint_recall,0.9375,"{""top1_fingerprint_recall"": 0.9375, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",0.9375,1.0,6.351734638214111,6.084168434143066,0.2675662040710449,4.397744851531726,awq4
Perinucleus,meta-llama/Llama-2-7b-hf,gptq,3,128,top1_fingerprint_recall,0.9375,"{""top1_fingerprint_recall"": 0.9375, ""fractional_accuracy"": 1.0, ""num_fingerprints"": 64}",0.9375,1.0,7.284886837005615,6.084168434143066,1.2007184028625488,19.73512758332545,gptq3
CTCC,meta-llama/Llama-2-7b-hf,none,16,,trigger_fsr+negative_fsr,1.0,"{""trigger_fsr"": 1.0, ""trigger_fsr_seen"": 1.0, ""trigger_fsr_unseen"": 1.0, ""negative_fsr"": 0.0, ""num_trigger"": 195, ""num_negative"": 300}",1.0,1.0,5.5570149421691895,5.5570149421691895,0.0,0.0,source
CTCC,meta-llama/Llama-2-7b-hf,rtn,3,128,trigger_fsr+negative_fsr,0.5282051282051282,"{""trigger_fsr"": 0.5282051282051282, ""trigger_fsr_seen"": 0.5, ""trigger_fsr_unseen"": 0.5578947368421052, ""negative_fsr"": 0.01, ""num_trigger"": 195, ""num_negative"": 300}",1.0,0.5282051282051282,6.849357604980469,5.5570149421691895,1.2923426628112793,23.256058806039693,rtn3
CTCC,meta-llama/Llama-2-7b-hf,rtn,4,128,trigger_fsr+negative_fsr,0.9538461538461539,"{""trigger_fsr"": 0.9538461538461539, ""trigger_fsr_seen"": 0.93, ""trigger_fsr_unseen"": 0.9789473684210527, ""negative_fsr"": 0.006666666666666667, ""num_trigger"": 195, ""num_negative"": 300}",1.0,0.9538461538461539,5.794344902038574,5.5570149421691895,0.23732995986938477,4.270817378380887,rtn4
